campaignDisplayName,campaignDescription,campaignID,campaignStartDate,campaignEndDate,duration,daysLeft,campaignType,campaignStatus,userEmail,resourceID,resourceName,resourceType,assignmentType,entitlementBundleName,entitlementValueName,decision,decidedDate,reviewerType,reviewerGroupName,reviewerEmail,remediationStatus,currentReviewerLevel,level1ReviewerEmail,level1ReviewerDecision,level2ReviewerEmail,level2ReviewerDecision
SOX Resource Review - 778,,7OJe9dq6g3QBlt6Q,06/17/2025 1:07 am,07/13/2025 2:01 am,26,-74.415579,RESOURCE,ACTIVE,neha.martinez876@mailinator.com,Vg9TA6CHfxwkBx6QiR0q,HRPro,Server,GROUP,Default Bundle,,REVOKED,06/21/2025 1:48 am,GROUP,ComplianceTeam,,PENDING,2,neha.martinez@example.com,APPROVED,,
Quarterly Access Review - 562,,KPVnDYcgeTahT1pr,12/17/2024 3:30 am,12/30/2024 3:35 am,13,-269.350289,RESOURCE,CANCELLED,jordan.martinez820@example.com,NhtjSDFYXnS9BtAI24Y6,HRPro,Server,USER,,,REVOKED,12/21/2024 7:49 am,USER,,jordan.martinez@example.com,FAILED,,jordan.martinez@mailinator.com,REVOKED,,
Quarterly Access Review - 420,Quarterly Access Review audit.,owdl3rBKIGXkckco,07/28/2024 12:35 pm,08/09/2024 12:56 pm,12,-411.961007,RESOURCE,IN_PROGRESS,taylor.smith307@mailinator.com,sbGdLV2YlKRB0QOnkBRA,Finance360,Database,GROUP,Default Bundle,ROLE_USER,UNREVIEWED,,USER,,taylor.smith@testmail.com,FAILED,,taylor.smith@mailinator.com,APPROVED,,
SOX Resource Review - 105,,NwOhr6Q3PU0Br0U8,11/29/2023 6:41 am,12/22/2023 6:51 am,23,-643.214259,RESOURCE,COMPLETED,sai.brown67@mailinator.com,FB7Uhb2RP1ziWL1O6DLj,My Super Secure App,Server,USER,,,APPROVED,12/06/2023 1:55 am,USER,,sai.brown@example.com,PENDING,2,sai.brown@example.com,REVOKED,,
PCI Resource Review - 804,,1fkz1zVlVnCe6Xqi,03/02/2023 6:08 pm,03/14/2023 7:07 pm,12,-925.703032,RESOURCE,ACTIVE,kiran.smith214@example.com,GWdhV6HSjYluLWSuw1VP,Finance360,Server,USER,Default Bundle,,APPROVED,03/08/2023 4:18 pm,GROUP,AccessReviewers,,FAILED,2,,,,
PCI Resource Review - 40,,Eks0QDSQBk5Rcb8t,06/01/2025 12:16 pm,06/10/2025 12:19 pm,9,-106.986146,RESOURCE,ACTIVE,neha.johnson753@mailinator.com,BkTwlJvXfTnqjcbhq9GS,My Super Secure App,API,GROUP,,,APPROVED,06/06/2025 9:11 pm,GROUP,ComplianceTeam,,SUCCESS,,neha.johnson@example.com,APPROVED,,
PCI Resource Review - 88,,9nCCkSVKxuapKQcm,01/07/2024 2:08 am,01/18/2024 2:27 am,11,-616.397303,RESOURCE,ACTIVE,taylor.garcia258@example.com,KBkM7dDFKW0zpoAIGU4F,Finance360,Application,USER,,,REVOKED,01/14/2024 12:38 pm,GROUP,ComplianceTeam,,SUCCESS,2,taylor.garcia@mailinator.com,REVOKED,taylor.garcia@mailinator.com,APPROVED
SOX Resource Review - 664,,Dp3YV5ry5eHdrFHQ,06/24/2025 4:17 am,07/21/2025 5:03 am,27,-66.289005,RESOURCE,DRAFT,neha.martinez749@example.com,O31jGtg68c7QGxi1iWzE,My Super Secure App,Server,USER,,,APPROVED,07/18/2025 5:30 am,GROUP,AccessReviewers,,FAILED,,neha.martinez@mailinator.com,REVOKED,neha.martinez@testmail.com,APPROVED
SOX Resource Review - 495,,5Hq0zBdBefb9zlTY,06/21/2024 3:22 am,07/06/2024 4:15 am,15,-446.322326,RESOURCE,CANCELLED,taylor.martinez357@example.com,9xJYwEukHLoCW4GfyunG,Finance360,Server,USER,,,REVOKED,06/26/2024 12:07 pm,GROUP,SecurityOps,,SUCCESS,2,taylor.martinez@testmail.com,REVOKED,taylor.martinez@testmail.com,REVOKED
SOX Resource Review - 225,SOX Resource Review audit.,KjDZJEA3kEDYVrxA,06/25/2025 8:36 am,07/21/2025 9:31 am,26,-66.103391,RESOURCE,CANCELLED,taylor.johnson65@testmail.com,QwKOudbmFMjKNmjFDX3t,My Super Secure App,Database,GROUP,,,UNREVIEWED,,GROUP,AccessReviewers,,FAILED,,,,,
PCI Resource Review - 681,PCI Resource Review audit.,iqqjyjYxpha9Uiud,04/08/2024 3:38 pm,05/06/2024 4:21 pm,28,-506.818275,RESOURCE,ACTIVE,taylor.brown852@testmail.com,5EjMFtOBnobl9O72rQid,Finance360,Server,USER,,,UNREVIEWED,,GROUP,ComplianceTeam,,FAILED,2,taylor.brown@example.com,APPROVED,,
Customer Portal Access - 268,Customer Portal Access audit.,OwyjqR5kWMAC2NFU,07/13/2025 12:27 am,07/29/2025 1:17 am,16,-58.445880,RESOURCE,COMPLETED,taylor.smith985@example.com,6kKbb6hdg8Dii0HLPfho,Finance360,Server,GROUP,,,REVOKED,07/21/2025 11:59 pm,GROUP,AccessReviewers,,PENDING,1,taylor.smith@testmail.com,REVOKED,taylor.smith@example.com,APPROVED
PCI Resource Review - 680,,pgq3Dnn8RjzgPgtE,03/16/2023 8:42 am,04/08/2023 8:54 am,23,-901.129063,RESOURCE,ACTIVE,taylor.martinez889@example.com,fmH1k5mVwh1MSbMQPSie,Finance360,Application,GROUP,,,REVOKED,03/18/2023 2:16 pm,USER,,taylor.martinez@example.com,FAILED,,,,,
PCI Resource Review - 100,PCI Resource Review audit.,hHdQcKuF5Jxd8tbI,10/13/2023 4:03 am,11/03/2023 4:54 am,21,-692.295579,RESOURCE,CANCELLED,neha.martinez858@testmail.com,Yi2E8V2GH2FepQS00t65,My Super Secure App,Application,GROUP,,,REVOKED,10/24/2023 12:56 am,GROUP,AccessReviewers,,FAILED,1,neha.martinez@mailinator.com,APPROVED,neha.martinez@example.com,APPROVED
PCI Resource Review - 764,,VEaeZpl0Lr9najrF,09/05/2024 3:42 pm,10/03/2024 3:54 pm,28,-356.836817,RESOURCE,CANCELLED,taylor.johnson753@example.com,FgfCEjsBvtA62vGsCw25,My Super Secure App,Application,GROUP,,,REVOKED,09/12/2024 1:41 pm,GROUP,ComplianceTeam,,FAILED,,taylor.johnson@example.com,APPROVED,taylor.johnson@testmail.com,APPROVED
PCI Resource Review - 47,,aeAReJkMBce4lehJ,01/03/2025 1:26 pm,01/31/2025 2:13 pm,28,-236.907361,RESOURCE,COMPLETED,kiran.johnson550@testmail.com,GAxrXZ0gTXd9j1QOHD9l,HRPro,Application,USER,Default Bundle,,REVOKED,01/14/2025 5:02 am,GROUP,AccessReviewers,,FAILED,2,kiran.johnson@testmail.com,REVOKED,,
SOX Resource Review - 969,SOX Resource Review audit.,7R5A7RtOhUr3lnKJ,08/18/2024 12:39 am,09/02/2024 1:17 am,15,-388.446458,RESOURCE,DRAFT,taylor.johnson276@testmail.com,r6oXFv1i7EaIEFPVJ3xu,HRPro,Database,GROUP,,,REVOKED,09/01/2024 11:09 pm,GROUP,SecurityOps,,FAILED,1,,,,
Customer Portal Access - 482,Customer Portal Access audit.,yKgv0K1TZZxrknmi,06/04/2025 1:06 pm,07/01/2025 1:30 pm,27,-85.937477,RESOURCE,COMPLETED,neha.martinez786@mailinator.com,XwVjGSfeIW1dy2syDfzN,Finance360,Database,USER,,,UNREVIEWED,,GROUP,SecurityOps,,PENDING,,neha.martinez@example.com,REVOKED,,
PCI Resource Review - 243,PCI Resource Review audit.,cqIOBqIYxduhGt7y,10/20/2023 7:10 am,11/12/2023 8:04 am,23,-683.163819,RESOURCE,ACTIVE,kiran.johnson307@testmail.com,REDdSzsSzAwdApY2s4tC,My Super Secure App,Server,GROUP,,,UNREVIEWED,,USER,,kiran.johnson@testmail.com,SUCCESS,2,,,,
PCI Resource Review - 340,,Eo3InBDm0MeCpHZr,03/25/2023 3:10 am,04/17/2023 3:52 am,23,-892.338484,RESOURCE,IN_PROGRESS,kiran.garcia67@testmail.com,ifHEjFXUzLfbeteP49qb,Data Lake Portal,Application,USER,,,UNREVIEWED,,GROUP,ComplianceTeam,,PENDING,2,kiran.garcia@example.com,REVOKED,,
Customer Portal Access - 165,Customer Portal Access audit.,tXfNeepxlG3Q4aCp,10/04/2023 12:27 am,10/12/2023 12:32 am,8,-714.477697,RESOURCE,COMPLETED,sai.garcia179@testmail.com,bpHxR0kk6EEzVJhu20o9,Finance360,API,GROUP,,,REVOKED,10/11/2023 3:35 pm,GROUP,AccessReviewers,,FAILED,1,sai.garcia@example.com,REVOKED,,
Customer Portal Access - 189,,CXbg5TIz4Npn0Gz8,08/05/2023 12:57 am,08/12/2023 1:56 am,7,-775.418947,RESOURCE,ACTIVE,kiran.johnson935@example.com,6avKB71gzzcl7KzbMErM,Data Lake Portal,Database,GROUP,,,UNREVIEWED,,USER,,kiran.johnson@mailinator.com,PENDING,1,kiran.johnson@mailinator.com,APPROVED,kiran.johnson@testmail.com,REVOKED
PCI Resource Review - 194,,HyWHVrjMCX6YmBsN,03/25/2024 6:10 am,04/19/2024 6:16 am,25,-524.238530,RESOURCE,DRAFT,alex.patel271@testmail.com,2mh7ZG4TJolnFhC8uUxV,Data Lake Portal,Database,GROUP,Default Bundle,,REVOKED,04/11/2024 1:27 am,GROUP,ComplianceTeam,,PENDING,2,alex.patel@mailinator.com,APPROVED,alex.patel@example.com,REVOKED
PCI Resource Review - 425,,u6rK4oHRupAQKDKY,01/26/2024 7:52 am,02/15/2024 8:26 am,20,-588.148009,RESOURCE,DRAFT,alex.garcia146@testmail.com,pd9Mu8WMmK4klwBzlkCt,Data Lake Portal,Application,USER,,,UNREVIEWED,,GROUP,SecurityOps,,FAILED,,alex.garcia@testmail.com,APPROVED,alex.garcia@example.com,APPROVED
Customer Portal Access - 504,,GSSIEtP3EHQk8JnG,10/21/2023 12:30 pm,10/29/2023 12:36 pm,8,-696.974479,RESOURCE,DRAFT,kiran.patel708@testmail.com,KjcuizXZmYWnfeCK1oP8,My Super Secure App,Server,GROUP,,ROLE_USER,REVOKED,10/26/2023 8:20 am,USER,,kiran.patel@testmail.com,FAILED,,,,,
PCI Resource Review - 44,,Mu64BhwmBCI5Ei4g,09/20/2023 6:19 pm,09/30/2023 6:32 pm,10,-725.727500,RESOURCE,CANCELLED,taylor.garcia20@mailinator.com,Yrl5nwfU0Fuyzz5THhcu,Data Lake Portal,Application,USER,,ROLE_USER,REVOKED,09/29/2023 8:14 pm,USER,,taylor.garcia@testmail.com,FAILED,,,,,
Quarterly Access Review - 614,Quarterly Access Review audit.,j4DdkWQ0YVKubjJg,11/18/2024 10:32 am,12/15/2024 11:31 am,27,-284.020093,RESOURCE,COMPLETED,kiran.smith571@example.com,vraUyv48hbNJcvDk0hW5,Finance360,Server,GROUP,Default Bundle,,UNREVIEWED,,GROUP,ComplianceTeam,,SUCCESS,1,kiran.smith@mailinator.com,REVOKED,kiran.smith@mailinator.com,REVOKED
Customer Portal Access - 733,,eFPTyBHQKPPchlr9,01/18/2025 2:50 am,02/01/2025 3:47 am,14,-236.342315,RESOURCE,IN_PROGRESS,jordan.garcia31@example.com,P5UUKmaLwb894Z6Jkp9c,My Super Secure App,API,USER,,,APPROVED,01/30/2025 8:37 am,USER,,jordan.garcia@mailinator.com,SUCCESS,2,,,,
PCI Resource Review - 19,,qtA9NCwaHbLtqi6U,01/05/2024 12:04 am,01/14/2024 12:19 am,9,-620.486794,RESOURCE,DRAFT,jordan.patel585@mailinator.com,OER9nUbH3QW83H08NGyE,Data Lake Portal,Database,USER,Default Bundle,ROLE_USER,UNREVIEWED,,USER,,jordan.patel@testmail.com,FAILED,2,jordan.patel@mailinator.com,APPROVED,,
Customer Portal Access - 359,,qEjUu2M6k5IMuDxS,10/02/2024 6:50 am,10/11/2024 7:30 am,9,-349.187431,RESOURCE,CANCELLED,alex.patel711@testmail.com,mGp3NRIgINwB612YkSdY,HRPro,Server,GROUP,Default Bundle,,APPROVED,10/08/2024 6:06 pm,GROUP,SecurityOps,,PENDING,2,,,,
PCI Resource Review - 513,,VY9XYcrhn5GY9tqe,04/19/2023 4:10 am,05/18/2023 4:45 am,29,-861.301840,RESOURCE,CANCELLED,neha.garcia141@testmail.com,ngBcRa1NgKGvbXyorXRq,HRPro,Application,USER,,,REVOKED,05/02/2023 4:28 pm,USER,,neha.garcia@testmail.com,FAILED,2,neha.garcia@example.com,APPROVED,neha.garcia@testmail.com,REVOKED
Customer Portal Access - 298,Customer Portal Access audit.,Lmdpi0Us1QEtBS2Q,11/24/2024 5:22 pm,12/18/2024 5:26 pm,24,-280.773600,RESOURCE,DRAFT,taylor.garcia537@mailinator.com,gRYKPw5noLYtOszZbDEd,Data Lake Portal,API,GROUP,,,REVOKED,12/16/2024 6:06 am,USER,,taylor.garcia@example.com,FAILED,,taylor.garcia@mailinator.com,APPROVED,,
Quarterly Access Review - 775,Quarterly Access Review audit.,LfSusVQzU1n0Q80Q,07/09/2024 10:35 am,07/30/2024 11:13 am,21,-422.032002,RESOURCE,ACTIVE,taylor.garcia594@example.com,26UXCfmetp0k1F5GR8JI,Data Lake Portal,Application,GROUP,,,APPROVED,07/29/2024 9:59 pm,GROUP,ComplianceTeam,,SUCCESS,2,,,,
SOX Resource Review - 609,,Ad96e8M5qesuoZJF,03/17/2023 9:47 am,04/09/2023 10:35 am,23,-900.058866,RESOURCE,CANCELLED,alex.patel756@example.com,rdMtte8xlmYt7PXtk2eX,HRPro,Application,USER,,ROLE_USER,UNREVIEWED,,GROUP,SecurityOps,,SUCCESS,,,,,
Quarterly Access Review - 903,,4mxxfoVbXh3mojaY,08/22/2024 8:36 am,09/03/2024 8:50 am,12,-387.131366,RESOURCE,IN_PROGRESS,alex.patel137@example.com,J3tKl7u8enIbYuIuLjR2,Data Lake Portal,Server,USER,,ROLE_USER,UNREVIEWED,,USER,,alex.patel@example.com,SUCCESS,,,,alex.patel@testmail.com,APPROVED
Customer Portal Access - 186,,TQfw3J8vD0k3EuSU,02/28/2025 3:42 am,03/19/2025 3:43 am,19,-190.345127,RESOURCE,COMPLETED,sai.martinez930@mailinator.com,P26SNHYi2TEY0laGsacR,HRPro,Server,USER,,,APPROVED,03/07/2025 7:37 pm,GROUP,ComplianceTeam,,PENDING,2,,,,
SOX Resource Review - 585,,YN4raXAUY76i9DGx,06/11/2024 12:55 pm,06/30/2024 1:41 pm,19,-451.929294,RESOURCE,COMPLETED,alex.brown208@mailinator.com,tp9kkcmpRSUOvU07A5VB,My Super Secure App,API,USER,Default Bundle,,UNREVIEWED,,USER,,alex.brown@testmail.com,SUCCESS,1,alex.brown@example.com,APPROVED,,
PCI Resource Review - 390,,4nbOJyxgdg8QF0LU,03/08/2025 10:32 am,04/01/2025 11:11 am,24,-177.033391,RESOURCE,CANCELLED,kiran.brown453@example.com,URVXWOSgKxA9gJYhDL0s,Finance360,Database,USER,Default Bundle,ROLE_USER,REVOKED,03/13/2025 1:56 pm,GROUP,SecurityOps,,FAILED,,,,,
Customer Portal Access - 226,,NF3rPoMN1Ou9ePey,01/05/2023 3:20 pm,02/01/2023 3:56 pm,27,-966.835625,RESOURCE,ACTIVE,kiran.garcia576@example.com,d6WxdRKlGMVhpRZBN8Ex,Finance360,Database,GROUP,Default Bundle,,UNREVIEWED,,USER,,kiran.garcia@mailinator.com,SUCCESS,2,kiran.garcia@mailinator.com,REVOKED,,
SOX Resource Review - 890,SOX Resource Review audit.,TloSlTO2Ur2PPeJO,04/08/2023 9:57 am,04/27/2023 10:48 am,19,-882.049410,RESOURCE,ACTIVE,sai.garcia655@example.com,MMeDetMAkFdFyvOlQ0wV,My Super Secure App,API,USER,,,UNREVIEWED,,USER,,sai.garcia@example.com,FAILED,2,,,sai.garcia@mailinator.com,APPROVED
SOX Resource Review - 498,,QTkzlQK8KIIdNpI0,10/13/2024 10:56 pm,10/31/2024 11:36 pm,18,-328.516412,RESOURCE,COMPLETED,kiran.martinez987@example.com,1QcA52AZK23mRR5G4Zb3,Data Lake Portal,Database,GROUP,,,REVOKED,10/30/2024 10:34 am,GROUP,SecurityOps,,SUCCESS,2,kiran.martinez@example.com,REVOKED,,
SOX Resource Review - 626,,0wvmqvR2MoH1Tacl,02/23/2024 11:23 am,03/02/2024 12:17 pm,8,-571.987662,RESOURCE,DRAFT,taylor.johnson227@testmail.com,jnYYgqx0IQH85xfFNdCN,Finance360,Server,USER,,,REVOKED,02/28/2024 8:32 pm,USER,,taylor.johnson@mailinator.com,SUCCESS,2,,,,
SOX Resource Review - 245,SOX Resource Review audit.,TNUcLOjI7VwG481z,06/08/2024 4:27 pm,06/21/2024 5:20 pm,13,-460.777535,RESOURCE,COMPLETED,alex.brown196@example.com,GjUhJWsvvW3XvGuaPfVC,Finance360,Application,GROUP,,ROLE_USER,REVOKED,06/15/2024 2:06 am,USER,,alex.brown@testmail.com,PENDING,1,,,,
SOX Resource Review - 724,,X2NbdHHw6up2ZTSb,06/29/2024 11:32 pm,07/10/2024 12:06 am,10,-442.495150,RESOURCE,CANCELLED,sai.patel42@testmail.com,3MRGu81Pi5XBDHR98gqV,My Super Secure App,API,GROUP,Default Bundle,,UNREVIEWED,,GROUP,ComplianceTeam,,FAILED,,,,sai.patel@testmail.com,APPROVED
Quarterly Access Review - 499,,Xm2LBp2XG3KB2DYQ,06/20/2024 5:21 am,06/30/2024 5:44 am,10,-452.260544,RESOURCE,IN_PROGRESS,alex.patel909@testmail.com,XCaP7iM1mYzDYAxE009N,Data Lake Portal,API,USER,Default Bundle,ROLE_USER,REVOKED,06/30/2024 2:39 am,GROUP,AccessReviewers,,SUCCESS,,alex.patel@testmail.com,REVOKED,alex.patel@example.com,APPROVED
Quarterly Access Review - 995,,qYo76nRAQkHIMJnt,12/26/2023 10:48 pm,01/11/2024 11:28 pm,16,-622.522199,RESOURCE,ACTIVE,sai.johnson386@mailinator.com,hKxYyqfvQ47WtEqErq7b,HRPro,Server,GROUP,,,UNREVIEWED,,GROUP,AccessReviewers,,SUCCESS,,sai.johnson@testmail.com,APPROVED,,
Quarterly Access Review - 944,Quarterly Access Review audit.,YYqmSkIBDG9QJHaJ,12/03/2023 1:48 am,12/17/2023 2:31 am,14,-648.394606,RESOURCE,CANCELLED,sai.garcia862@mailinator.com,MJvoZFv72VqBBZ313XqM,Data Lake Portal,Server,GROUP,Default Bundle,,APPROVED,12/09/2023 12:33 am,USER,,sai.garcia@mailinator.com,FAILED,,,,sai.garcia@example.com,APPROVED
PCI Resource Review - 843,,t4yhVUrQwFh3jwVD,03/13/2025 11:11 am,03/20/2025 11:44 am,7,-189.010995,RESOURCE,DRAFT,neha.martinez292@example.com,WWnpHb5S1zPzCicwkk7Z,Data Lake Portal,Application,GROUP,,,UNREVIEWED,,GROUP,ComplianceTeam,,SUCCESS,1,neha.martinez@testmail.com,APPROVED,neha.martinez@example.com,APPROVED
PCI Resource Review - 819,,Q8WTv7x33jjMEC1k,04/18/2025 8:41 pm,05/06/2025 9:03 pm,18,-141.622685,RESOURCE,COMPLETED,alex.patel692@testmail.com,kTSmofGwZ4pN1HWK5LT8,Finance360,API,USER,,ROLE_USER,UNREVIEWED,,GROUP,ComplianceTeam,,PENDING,,,,alex.patel@mailinator.com,APPROVED
PCI Resource Review - 313,,yo1B5g7NbkbbWGuM,02/12/2025 6:09 am,03/12/2025 6:59 am,28,-197.208738,RESOURCE,IN_PROGRESS,neha.brown197@testmail.com,cxfWOPyYNcZBwddb2kNq,HRPro,API,GROUP,,,UNREVIEWED,,GROUP,ComplianceTeam,,SUCCESS,1,,,,
PCI Resource Review - 31,PCI Resource Review audit.,pOZ4vzsV7KWS8QlQ,01/30/2024 5:32 pm,02/28/2024 5:38 pm,29,-574.765023,RESOURCE,DRAFT,sai.martinez956@mailinator.com,QptgSeSbaNrxCBVt3JeN,My Super Secure App,Application,USER,,,REVOKED,02/01/2024 8:53 am,GROUP,AccessReviewers,,PENDING,,,,,
SOX Resource Review - 391,,w5LLyNuMW7NSY5ee,02/12/2024 3:05 am,02/23/2024 3:10 am,11,-580.367616,RESOURCE,DRAFT,sai.martinez343@testmail.com,lXyzRFgdbKEFfDFOv0Zi,Finance360,Database,USER,Default Bundle,ROLE_USER,REVOKED,02/13/2024 4:54 pm,USER,,sai.martinez@mailinator.com,FAILED,2,sai.martinez@example.com,APPROVED,,
Quarterly Access Review - 251,,EpzOQYFrMA0gl7Sk,01/16/2025 9:08 pm,02/06/2025 10:07 pm,21,-230.578218,RESOURCE,ACTIVE,jordan.smith543@example.com,KUVrc0X8b0jYCg5g2mRl,HRPro,Database,GROUP,Default Bundle,,REVOKED,01/28/2025 3:09 pm,GROUP,ComplianceTeam,,FAILED,2,,,,
Customer Portal Access - 292,,jzNlPDmRtVXF7eMZ,11/16/2023 9:51 pm,12/15/2023 10:14 pm,29,-649.573125,RESOURCE,ACTIVE,taylor.brown150@example.com,mmTf41c3QYkOhaZcrsDA,HRPro,API,USER,,,REVOKED,12/14/2023 2:50 am,USER,,taylor.brown@example.com,PENDING,1,taylor.brown@mailinator.com,REVOKED,taylor.brown@mailinator.com,REVOKED
SOX Resource Review - 6,SOX Resource Review audit.,hN2IB0sY8mWaA9Dn,08/23/2024 4:18 am,09/22/2024 4:33 am,30,-368.309745,RESOURCE,IN_PROGRESS,jordan.patel611@example.com,4t7VprJEvUAThXxn0Bww,Data Lake Portal,Database,USER,,,UNREVIEWED,,USER,,jordan.patel@example.com,PENDING,,jordan.patel@testmail.com,APPROVED,jordan.patel@example.com,REVOKED
Quarterly Access Review - 638,,t0biBilTHKw5pV03,07/08/2023 5:05 am,07/30/2023 5:31 am,22,-788.270058,RESOURCE,IN_PROGRESS,kiran.smith853@example.com,vIibDuUktsX1AAthkBrq,My Super Secure App,Database,USER,,,APPROVED,07/11/2023 7:44 pm,USER,,kiran.smith@testmail.com,SUCCESS,2,kiran.smith@mailinator.com,REVOKED,,
Quarterly Access Review - 307,,tSvn7jkAN4DkKgtu,07/28/2025 4:04 pm,08/07/2025 4:11 pm,10,-48.825394,RESOURCE,CANCELLED,alex.johnson790@testmail.com,FLbkzG0KYWADT3wSPvNL,My Super Secure App,API,GROUP,,,REVOKED,08/06/2025 11:19 pm,GROUP,SecurityOps,,PENDING,1,,,,
Customer Portal Access - 510,,ikhdmXsYOaza7wBK,03/15/2025 2:17 am,03/23/2025 2:47 am,8,-186.383924,RESOURCE,DRAFT,kiran.patel501@mailinator.com,3hgcRx9TBpVYwsT6CDDk,Finance360,Database,USER,,ROLE_USER,REVOKED,03/15/2025 3:03 am,USER,,kiran.patel@mailinator.com,SUCCESS,,,,,
SOX Resource Review - 331,SOX Resource Review audit.,eve7JvGX7Nx2R34h,10/25/2024 3:55 am,11/03/2024 4:36 am,9,-326.308287,RESOURCE,ACTIVE,kiran.garcia315@testmail.com,DvnaqZkTi0FUZRMOBCEq,My Super Secure App,API,USER,Default Bundle,,APPROVED,10/30/2024 4:42 am,GROUP,AccessReviewers,,FAILED,,,,,
Quarterly Access Review - 557,,XLubL9ZBhm9mEAYM,02/23/2023 2:22 pm,03/03/2023 3:12 pm,8,-936.866551,RESOURCE,IN_PROGRESS,alex.smith718@example.com,tACwPp3UY5BtRNi2IdXQ,HRPro,Application,USER,,,APPROVED,03/02/2023 2:45 pm,GROUP,AccessReviewers,,PENDING,2,,,,
SOX Resource Review - 299,,DK32algO4ZKPyn8t,06/04/2023 10:40 am,06/25/2023 11:17 am,21,-823.029375,RESOURCE,DRAFT,jordan.martinez374@testmail.com,FxLs6gCBLwDubarUcNRD,My Super Secure App,Application,USER,Default Bundle,,APPROVED,06/04/2023 3:24 pm,GROUP,SecurityOps,,SUCCESS,,jordan.martinez@mailinator.com,APPROVED,jordan.martinez@testmail.com,REVOKED
Customer Portal Access - 998,Customer Portal Access audit.,KbJVBaSuPCxAAr2l,04/08/2025 12:08 am,04/15/2025 12:32 am,7,-163.477234,RESOURCE,CANCELLED,taylor.smith870@mailinator.com,V0B6dshx6X9upf0ALv97,Data Lake Portal,Database,GROUP,,,APPROVED,04/12/2025 12:04 am,GROUP,SecurityOps,,SUCCESS,,,,,
PCI Resource Review - 626,,yDJxiswJFy690SrL,05/10/2025 7:34 pm,05/30/2025 7:51 pm,20,-117.672720,RESOURCE,ACTIVE,kiran.johnson236@mailinator.com,UzfuHUW6rD9qgtIC38Xr,My Super Secure App,Application,GROUP,Default Bundle,,REVOKED,05/25/2025 3:11 am,USER,,kiran.johnson@example.com,PENDING,,,,kiran.johnson@mailinator.com,REVOKED
PCI Resource Review - 373,,kySZzBUyidDuYUOC,10/20/2024 2:02 am,10/31/2024 2:28 am,11,-329.397176,RESOURCE,ACTIVE,neha.smith439@testmail.com,y7ux76PjZJhuDAgK7UM4,Finance360,Database,GROUP,,,REVOKED,10/22/2024 1:50 pm,USER,,neha.smith@mailinator.com,FAILED,,neha.smith@example.com,APPROVED,,
Quarterly Access Review - 10,,y7OGzEGJBlWVMcTh,05/09/2024 1:22 am,05/18/2024 1:23 am,9,-495.442106,RESOURCE,CANCELLED,jordan.garcia281@example.com,GXJi26a1N1wdrkJuTdSQ,HRPro,Application,GROUP,,,REVOKED,05/12/2024 10:25 pm,USER,,jordan.garcia@testmail.com,SUCCESS,2,,,,
Customer Portal Access - 604,,CBXNzLZQz6Z9Cbsx,03/20/2024 2:29 pm,04/15/2024 2:56 pm,26,-527.877257,RESOURCE,CANCELLED,alex.smith635@testmail.com,syZngS1zoG9v79j3c68Z,Finance360,Application,USER,,,REVOKED,03/30/2024 8:03 am,USER,,alex.smith@example.com,SUCCESS,,,,alex.smith@example.com,APPROVED
Quarterly Access Review - 577,,6jzxJ3HB17YVN1jf,06/09/2024 12:13 am,06/26/2024 12:23 am,17,-456.483403,RESOURCE,ACTIVE,jordan.johnson620@example.com,As9Owtm25eCjs46GODpM,Data Lake Portal,Application,GROUP,,,REVOKED,06/25/2024 6:43 am,USER,,jordan.johnson@testmail.com,FAILED,,jordan.johnson@testmail.com,APPROVED,,
PCI Resource Review - 848,,IoVWJ2peBUal8feD,01/15/2023 11:29 am,02/12/2023 11:56 am,28,-956.002778,RESOURCE,IN_PROGRESS,alex.martinez368@example.com,od45OYolil00sOIOeKPT,HRPro,API,GROUP,Default Bundle,,UNREVIEWED,,USER,,alex.martinez@example.com,PENDING,1,alex.martinez@mailinator.com,REVOKED,,
Quarterly Access Review - 939,,X6hSYUw0n9Ps4WD7,07/24/2025 12:29 pm,08/10/2025 1:00 pm,17,-45.957662,RESOURCE,DRAFT,jordan.garcia526@testmail.com,lRIhHtpxAlt9MlbRPE79,Data Lake Portal,Application,GROUP,,,REVOKED,08/02/2025 8:17 am,GROUP,AccessReviewers,,PENDING,1,,,jordan.garcia@testmail.com,REVOKED
Customer Portal Access - 111,,RdHmOG8aXKARs1oT,10/16/2024 3:03 am,10/29/2024 3:14 am,13,-331.364664,RESOURCE,DRAFT,sai.patel834@example.com,5tHiRGBYS68tzNjyVQy8,Data Lake Portal,API,GROUP,,,REVOKED,10/29/2024 1:04 am,USER,,sai.patel@example.com,FAILED,1,,,,
Quarterly Access Review - 699,,gKYLvIO3UojI4lcf,04/09/2023 4:05 am,04/20/2023 4:25 am,11,-889.315567,RESOURCE,IN_PROGRESS,jordan.brown722@example.com,LuCIxcalpNEA1c7X25ak,Data Lake Portal,Application,USER,,ROLE_USER,REVOKED,04/19/2023 11:16 am,GROUP,SecurityOps,,FAILED,,,,,
SOX Resource Review - 70,,YK0GW4sSsFdwWSFN,01/29/2025 8:00 am,02/22/2025 8:23 am,24,-215.150567,RESOURCE,CANCELLED,kiran.johnson646@example.com,7PME99G0z1ZpZ0JRYODd,Finance360,Application,GROUP,,,UNREVIEWED,,USER,,kiran.johnson@testmail.com,FAILED,,kiran.johnson@testmail.com,REVOKED,,
